Name,Department,Title,Image
黄佩,传播学系,教授,https://sdmda.bupt.edu.cn//__local/6/85/0D/0FCDBD53B0CBD8F73E9A380014B_B785B92A_D4DFC.jpg?e=.jpg
刘胜枝,传播学系,教授,https://sdmda.bupt.edu.cn//__local/D/89/00/FD38466EB4D08DB541537E7EE69_6B2FFE5B_11FFE2.jpg?e=.jpg
王文宏,传播学系,教授,https://sdmda.bupt.edu.cn//__local/4/26/E9/3104606E88CEBEC7C000BA6D779_BEB9E4F1_51431.jpg?e=.jpg
张蓝姗,传播学系,教授,https://sdmda.bupt.edu.cn//__local/F/C1/AE/C1F0046DB53D8A8B7A410908E4B_570E0E8D_8836B.jpg?e=.jpg
贾云鹏,数字媒体系,教授,https://sdmda.bupt.edu.cn//__local/A/2C/4C/BE0CED6F72730D767626C05C08D_3A7DE962_12C43C.jpg?e=.jpg
高立,数字媒体系,教授,https://sdmda.bupt.edu.cn//__local/D/92/E0/E2BC596B4817BEE7A125A2295B7_E73CCB63_F05CA.jpg?e=.jpg
李学明,数字媒体系,教授,https://sdmda.bupt.edu.cn//__local/B/63/B3/1C33EA0AA279FC62C76DC0E6BF6_F86679F3_1F346.jpg?e=.jpg
张凤全,数字媒体系,教授,https://sdmda.bupt.edu.cn//__local/8/C7/01/CEA77732C1F6EA3AA3A47F69E21_33E46CCF_44BE2.jpg
侯文军,设计系,教授,https://sdmda.bupt.edu.cn//__local/6/AB/9D/0283B095A82459A238799253784_99B7F9CC_A5003.jpg?e=.jpg
李霞,艺术教研中心,教授,https://sdmda.bupt.edu.cn//__local/E/74/53/26BC3844845C16927240D64FF72_759C65F3_1787C2.jpg?e=.jpg
